ID,Waktu_Masuk,Waktu_Keluar,Durasi,Total_Orang
8,2025-05-06 13:06:25,2025-05-06 13:06:35,9.5,0
9,2025-05-06 13:06:35,2025-05-06 13:07:07,31.3,0
10,2025-05-06 13:07:10,2025-05-06 13:07:32,22.5,0
11,2025-05-06 13:07:36,2025-05-06 13:07:52,16.3,0
12,2025-05-06 13:08:00,2025-05-06 13:08:06,5.9,0
0,2025-05-20 13:50:35,2025-05-20 13:50:45,0 menit 10 detik
1,2025-05-20 13:50:48,2025-05-20 13:50:53,0 menit 4 detik
2,2025-05-20 13:51:48,2025-05-20 13:52:15,0 menit 27 detik
3,2025-05-20 13:51:54,2025-05-20 13:52:00,0 menit 5 detik
0,2025-05-20 13:59:14,2025-05-20 13:59:16,0 menit 2 detik
1,2025-05-20 13:59:17,2025-05-20 13:59:19,0 menit 2 detik
2,2025-05-20 13:59:20,2025-05-20 13:59:32,0 menit 12 detik
3,2025-05-20 13:59:36,2025-05-20 13:59:39,0 menit 2 detik
4,2025-05-20 13:59:44,2025-05-20 13:59:47,0 menit 3 detik
5,2025-05-20 14:00:16,2025-05-20 14:00:18,0 menit 2 detik
6,2025-05-20 14:00:20,2025-05-20 14:00:22,0 menit 2 detik
7,2025-05-20 14:00:22,2025-05-20 14:00:30,0 menit 7 detik
8,2025-05-20 14:00:32,2025-05-20 14:08:28,7 menit 56 detik
9,2025-05-20 14:08:39,2025-05-20 14:08:45,0 menit 6 detik
10,2025-05-20 14:08:43,2025-05-20 14:08:46,0 menit 2 detik
0,2025-06-02 23:12:40,2025-06-02 23:12:44,0 menit 3 detik
1,2025-06-02 23:12:50,2025-06-02 23:13:40,0 menit 50 detik
0,2025-06-03 09:18:05,2025-06-03 09:18:59,0 menit 54 detik
1,2025-06-03 09:18:35,2025-06-03 09:18:37,0 menit 2 detik
2,2025-06-03 09:18:55,2025-06-03 09:18:57,0 menit 2 detik
3,2025-06-03 09:19:06,2025-06-03 09:19:08,0 menit 2 detik
4,2025-06-03 09:19:09,2025-06-03 09:19:26,0 menit 17 detik
5,2025-06-03 09:19:19,2025-06-03 09:19:22,0 menit 3 detik
6,2025-06-03 09:19:38,2025-06-03 09:20:27,0 menit 49 detik
0,2025-06-03 13:29:59,2025-06-03 13:30:13,0 menit 14 detik,1
1,2025-06-03 13:30:30,2025-06-03 13:30:33,0 menit 2 detik,2
2,2025-06-03 13:30:35,2025-06-03 13:30:39,0 menit 3 detik,4
3,2025-06-03 13:30:35,2025-06-03 13:30:46,0 menit 11 detik,5
4,2025-06-03 13:30:40,2025-06-03 13:30:47,0 menit 6 detik,5
5,2025-06-03 13:30:51,2025-06-03 13:30:59,0 menit 8 detik,6
6,2025-06-03 13:31:06,2025-06-03 13:31:14,0 menit 7 detik,8
7,2025-06-03 13:31:11,2025-06-03 13:31:13,0 menit 2 detik,8
8,2025-06-03 13:31:18,2025-06-03 13:31:39,0 menit 21 detik,9
9,2025-06-03 14:02:26,2025-06-03 14:02:28,0 menit 2 detik,10
10,2025-06-03 14:02:55,2025-06-03 14:02:58,0 menit 3 detik,11
11,2025-06-03 14:03:15,2025-06-03 14:03:20,0 menit 5 detik,12
12,2025-06-03 14:03:25,2025-06-03 14:03:28,0 menit 2 detik,13
13,2025-06-03 14:03:28,2025-06-03 14:03:32,0 menit 3 detik,14
14,2025-06-03 14:03:40,2025-06-03 14:03:43,0 menit 2 detik,15
15,2025-06-03 14:07:02,2025-06-03 14:07:19,0 menit 17 detik,16
16,2025-06-03 14:13:43,2025-06-03 14:13:45,0 menit 2 detik,17
17,2025-06-03 14:13:47,2025-06-03 14:13:52,0 menit 4 detik,18
0,2025-06-03 14:41:56,2025-06-03 14:42:00,0 menit 4 detik,1
1,2025-06-03 14:43:36,2025-06-03 14:44:16,0 menit 39 detik,5
2,2025-06-03 14:43:37,2025-06-03 14:43:46,0 menit 9 detik,4
3,2025-06-03 14:43:45,2025-06-03 14:44:18,0 menit 33 detik,5
4,2025-06-03 14:43:53,2025-06-03 14:53:55,10 menit 1 detik,5
5,2025-06-03 14:54:19,2025-06-03 14:54:22,0 menit 3 detik,7
6,2025-06-03 14:54:19,2025-06-03 14:54:22,0 menit 3 detik,7
7,2025-06-03 14:54:24,2025-06-03 14:57:22,2 menit 58 detik,12
8,2025-06-03 14:54:29,2025-06-03 14:54:31,0 menit 2 detik,9
9,2025-06-03 14:54:34,2025-06-03 14:57:22,2 menit 48 detik,12
10,2025-06-03 14:57:22,2025-06-03 14:57:27,0 menit 5 detik,14
11,2025-06-03 14:57:22,2025-06-03 14:57:24,0 menit 2 detik,14
12,2025-06-03 14:57:23,2025-06-03 14:57:25,0 menit 2 detik,14
13,2025-06-03 14:57:24,2025-06-03 14:57:42,0 menit 17 detik,16
14,2025-06-03 14:57:29,2025-06-03 14:57:39,0 menit 9 detik,16
15,2025-06-03 14:57:37,2025-06-03 14:57:41,0 menit 4 detik,16
